#s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0,89630.9119696292,43129.47310550498,2.139626054462822,0.0005520990657036289,9.71,0.0
1.4787798714312477,89630.11543013659,43130.71902474187,2.140442357046554,0.000633404989213383,9.71,0.0
2.9580335170941607,89629.3166020896,43131.964040846,2.1414997532141644,0.0006820385706862661,9.71,0.0
4.436993126993293,89628.51733199913,43133.20842376544,2.1424647746303966,0.0017802583732001995,9.71,0.0
5.901725908985984,89627.72395905716,43134.43968389132,2.1468039867009145,0.006810083783250009,9.71,0.0
7.334268800963431,89626.93925399985,43135.63819009089,2.162354401535376,0.016329420841867316,9.71,0.0
8.756708217707311,89626.13197663592,43136.809359229825,2.1922035074765613,0.019288008572709528,9.71,0.0
10.284290276113746,89625.22206722765,43138.036376676275,2.2184946241759507,0.011862852271654054,9.71,0.0
11.899191451568864,89624.23603463809,43139.31530026227,2.230727567744391,0.0028329837014564154,9.71,0.0
13.521460959038048,89623.23748887381,43140.59384033263,2.2277947496813404,-0.007456382152742658,9.71,0.0
14.883372498992195,89622.41350709833,43141.67820976983,2.203055437307945,-0.03215721367107916,9.71,0.0
15.822382360107454,89621.87801943436,43142.449567327,2.1541004961055994,-0.07567292674133938,9.71,0.0
16.852887252132007,89621.32900198296,43143.321645402946,2.0689843220126423,-0.0692194759745069,9.71,0.0
17.953325145756825,89620.8617137104,43144.31794115625,1.9955227105215279,-0.0833301793031479,9.71,0.0
18.838734480713313,89620.51078830489,43145.13083785953,1.9197180370248794,-0.054833043358209196,9.71,0.0
20.232743372084784,89620.08326519125,43146.45767047012,1.877148444394584,0.006449340252701803,9.71,0.0
21.985234588836086,89619.56186941036,43148.13080283322,1.925781089335285,0.03586552223097378,9.71,0.0
23.544621526134577,89618.93394503862,43149.55817755753,2.004141737299177,0.03496163012429577,9.71,0.0
25.041431039219248,89618.27878303298,43150.903986409045,2.0267291432307304,0.008681250405510297,9.71,0.0
26.53699332400572,89617.61640912802,43152.24486946051,2.0296577694617013,0.00020538716807947855,9.71,0.0
28.01926564430388,89616.95981786253,43153.57378598972,2.0273101954570563,-0.0015097364680460854,9.71,0.0
29.494193050410352,89616.31281517004,43154.89922869659,2.0252124724275657,-0.00025327820573776906,9.71,0.0
30.980542956334485,89615.66000141586,43156.2345452303,2.02655108159068,0.00027659171212117585,9.71,0.0
32.46916839189998,89615.00340976815,43157.57054414331,2.026035380459032,-0.027107849322961338,9.71,0.0
33.9202829300684,89614.36746686544,43158.87488690017,1.9403586478055819,-0.10036498204365357,9.71,0.0
35.19984849419883,89614.0210209022,43160.10665929289,1.7298544524458774,-0.1967917202850321,9.71,0.0
36.287759072057625,89613.9954074633,43161.19426831141,1.485591839644732,-0.234000000284635,9.71,0.0
37.35305391818785,89614.20315621611,43162.239109717986,1.2415085936782406,-0.2339999997814116,9.71,0.0
38.39130344730332,89614.66946280265,43163.16675202624,0.9867941547409373,-0.23399999998716883,9.71,0.0
39.35061674866162,89615.2962250688,43163.893010294276,0.7691299501565966,-0.23400000000014248,9.71,0.0
40.22592195275773,89615.98185976193,43164.43712817479,0.5706755538591808,-0.23400000001460905,9.71,0.0
41.147447319811285,89616.80112725981,43164.85904021425,0.3525901456134329,-0.23400000002192395,9.71,0.0
42.03438178990411,89617.66574663893,43165.05674222104,0.1433281749723767,-0.23400000004414445,9.71,0.0
42.91722515014819,89618.54692178825,43165.11098938639,-0.0628304904490398,-0.23399999997236426,9.71,0.0
43.78384091560096,89619.39802616544,43164.94775880082,-0.2481523151731837,-0.23400000005693583,9.71,0.0
44.786336888844275,89620.35608438056,43164.652593367886,-0.467208736355836,-0.23399999985182665,9.71,0.0
46.087877623959145,89621.43276505216,43163.92131570751,-0.7730614327014246,-0.16762151807890202,9.71,0.0
47.51425929681127,89622.28102421202,43162.774572024566,-0.9560359839793549,-0.06583051686188923,9.71,0.0
48.97984511556562,89623.1003469509,43161.559396299956,-0.9767247310313592,-0.006479125836816918,9.71,0.0
50.46180400128771,89623.93088129297,43160.332035372754,-0.9755357436658779,0.0005903839190316432,9.71,0.0
51.94197438394084,89624.7612854083,43159.10674627751,-0.9749701246075465,0.0002572896181801197,9.71,0.0
53.42415199671418,89625.59332956698,43157.880144062525,-0.9747737659002863,9.389321686152715e-05,9.71,0.0
54.90802482189954,89626.42629352253,43156.65211734861,-0.9746912961710243,-0.00019431543242030464,9.71,0.0
56.386918651526884,89627.25669650751,43155.42836989025,-0.9753530775666671,-0.0011447006268561733,9.71,0.0
57.85508297994091,89628.07922657495,43154.21224868602,-0.9780691238261151,-0.0020359307839907855,9.71,0.0
59.32546000775137,89628.89823632593,43152.99108873265,-0.9813142414368018,-0.0016919956485662907,9.71,0.0
60.80595831948389,89629.71970708297,43151.75939841184,-0.9830672743844193,-0.0008504373578618817,9.71,0.0
62.29028335993122,89630.54214936256,43150.52375707131,-0.9838425422127796,-0.00015774579096329916,9.71,0.0
63.775924609566964,89631.36455518157,43149.2865106967,-0.983537240019135,0.0006201518933150608,9.71,0.0
65.26145015196218,89632.18841730613,43148.05037262317,-0.9819987067913657,0.0007023785880198168,9.71,0.0
66.74489611525449,89633.01340698902,43146.81748822099,-0.9814525078566726,-0.0004190186154994825,9.71,0.0
68.22754849908189,89633.83702108522,43145.584638712004,-0.9832430696930909,1.4931027673414397e-05,9.71,0.0
69.7093692623004,89634.6566906678,43144.35016127208,-0.9814036480856811,0.0030222071390697642,9.71,0.0
71.18621024239944,89635.4816030493,43143.12518011167,-0.9742989979700765,0.002888879272822909,9.71,0.0
